dataset_id,size,number_of_classes,number_of_literals,number_of_entities,number_of_properties,number_of_connections,number_of_connected_vertices,average_literals_per_vertex,relevance
1,16369964,38908,77824,38908,218930,141106,31088,11.996,0.0
10002,332618,500,6781,500,7781,1000,501,13.562,0.0
10003,330804,500,7000,500,8000,1000,501,14.0,0.0
10004,324102,500,7000,500,8000,1000,501,14.0,0.0
10005,309351,500,6500,500,7500,1000,501,13.0,0.0
10006,402776,500,6873,500,7873,1000,501,13.746,1.0
10007,644965,500,12499,500,13499,1000,501,24.998,0.0
10008,98792,104,1232,104,1440,208,105,11.846,0.0
10009,846825,985,8728,985,10698,1970,987,8.861,0.0
10011,1055008,910,9460,910,11280,1820,912,10.396,0.0
10012,413318,500,6091,500,7091,1000,501,12.182,0.0
10013,296759,500,4500,500,5500,1000,501,9.0,0.0
10014,20140,24,168,24,216,48,25,7.0,0.0
10016,320204,500,4410,500,5410,1000,501,8.82,0.0
10017,822731,0,7477,0,7977,500,501,14.954,0.75
10018,1479827,500,29095,500,30095,1000,501,58.19,0.0
10020,641994,500,10500,500,11500,1000,501,21.0,0.0
10021,103666,165,1421,165,1751,330,166,8.612,0.0
10022,640993,500,8898,500,9898,1000,501,17.796,0.0
10024,914070,996,12470,996,14462,1992,998,12.52,0.0
10025,201250,500,2498,500,3498,1000,501,4.996,0.0
10026,5550,7,49,7,63,14,8,7.0,0.0
10028,404918,500,6000,500,7000,1000,501,12.0,0.0
10031,557255,0,11000,0,11500,500,501,22.0,0.0
10032,809293,1496,15470,1496,18462,2992,1499,10.341,0.0
10034,867949,956,15736,956,18148,2412,1458,10.808,0.0
10039,18997,50,250,50,350,100,51,5.0,0.0
10041,48953,0,690,0,713,23,24,30.0,0.0
10045,573666,0,8132,0,8632,500,501,16.264,0.0
10046,1019498,985,10720,985,12690,1970,987,10.883,0.0
10047,716861,970,8660,970,10600,1940,972,8.928,0.0
10048,1228378,500,22896,500,23896,1000,501,45.792,0.0
10049,59339,87,522,87,752,230,144,6.0,0.0
10050,1228416,500,22899,500,23899,1000,501,45.798,0.0
10051,15254,40,160,40,240,80,41,4.0,1.0
10052,507273,0,4500,0,5000,500,501,9.0,0.0
10053,90728,169,1352,169,1690,338,170,8.0,0.0
10054,439418,500,10890,500,11890,1000,501,21.78,0.0
10055,390784,140,6333,140,6613,280,141,45.236,0.0
10057,1228106,500,22891,500,23891,1000,501,45.782,0.0
1006,8756,0,78,0,91,13,14,6.0,0.0
10064,573700,0,8132,0,8632,500,501,16.264,0.0
10065,320581,0,3001,0,3501,500,501,6.002,1.0
10066,270263,500,3500,500,4500,1000,501,7.0,0.0
10067,449642,0,3499,0,3999,500,501,6.998,0.0
10068,456885,500,8500,500,9500,1000,501,17.0,0.0
10070,200445,423,2621,423,3467,846,425,6.196,0.0
